4,34
3,96
6,54
7,97
6,97
6,82
8,69
4,39
5,88
7,88
4,74
7,39
5,76
7,86
7,79
4,75
4,84
4,65
5,38
5,41
6,98
6,50
4,89
7,56
3,32
4,45
4,41
4,74
4,47
8,88
7,74
5,98
6,80
7,92
4,88
4,57
7,60
5,66
7,64
6,67
8,56
8,56
7,31
7,48
4,50
6,47
4,37
5,61
6,58
7,72
5,99
4,91
4,44
6,53
8,40
7,38
7,81
5,41
4,84
5,70
7,68
7,48
4,50
6,86
6,80
6,31
5,95
6,68
3,32
5,68
6,45
7,93
7,92
6,33
4,96
6,62
3,33
6,56
5,47
6,66
4,56
8,73
3,33
5,99
7,94
7,67
6,54
3,49
7,70
7,34
7,92
5,46
6,44
3,63
6,43
7,65
5,45
8,86
4,37
4,35
4,77
7,45
7,92
4,91
7,89
5,31
5,46
4,73
4,71
4,98
7,52
4,45
5,37
6,58
6,99
3,47
7,84
5,94
5,63
6,32
6,39
5,97
7,69
6,78
4,34
5,53
8,86
6,69
4,46
7,69
4,44
5,47
6,89
5,37
5,92
4,94
6,92
6,66
6,33
8,63
6,70
4,97
7,73
7,39
4,77
4,100
4,100
6,77
6,65
4,65
